+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                    long                                                                                    |
+-------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol      | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| NEOUSDT     | 0.000454      | 0.001395    | 64.1          | 0.007598     | 0.008589    | 0.1326         | 0.9433                 | 0.001491     | 1181.63 | -57518.000454  |
| STORJUSDT   | 0.0004396     | 0.001305    | 70.75         | 0.01326      | 0.01335     | 0.1346         | 0.9233                 | 0.002358     | 969.7   | -57518.0004396 |
| ETHUSDT     | 0.0003914     | 0.001086    | 75.57         | 0.01328      | 0.01311     | 0.1478         | 0.9265                 | 0.002439     | 1229.0  | -57518.0003914 |
| WAVESUSDT   | 0.0003755     | 0.0008893   | 70.58         | 0.01405      | 0.01398     | 0.1069         | 0.9351                 | 0.001651     | 1004.71 | -57518.0003755 |
| FLMUSDT     | 0.0002639     | 0.0008961   | 52.47         | 0.0183       | 0.01551     | 0.09786        | 0.9466                 | 0.001717     | 956.71  | -57518.0002639 |
| BTCUSDT     | 0.0002567     | 0.0008679   | 84.42         | 0.01117      | 0.01081     | 0.1515         | 0.9558                 | 0.001536     | 1229.0  | -57503.3980709 |
+-------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                short                                                                                |
+-------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+---------+
| symbol      | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score   |
+-------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+---------+
| NKNUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 764.71  | -4020.0 |
| COMPUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1045.62 | -4020.0 |
| FILUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 939.75  | -4020.0 |
